cohort,seed,patients,label_mapping,exact_agreement_vs_archived,ari_vs_archived,nmi_vs_archived,minimum_cluster_prevalence
mimic,20260805,4713,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8593252705283259,0.6114699266137817,0.5142805112904711,0.09951198811797157
mimic,20260806,4713,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9987269255251432,0.9972423492362071,0.9891363514944581,0.07596011033312115
mimic,20260807,4713,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9923615531508593,0.9787470349298946,0.9492853918310874,0.07553575217483556
eicu,20260805,1417,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9964714184897672,0.9900828131825895,0.9743727811669455,0.08821453775582216
eicu,20260806,1417,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7706422018348624,0.49520104033686596,0.4320301185953378,0.0028228652081863093
eicu,20260807,1417,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7706422018348624,0.49520104033686596,0.4320301185953378,0.0028228652081863093
aumc,20260805,2183,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9977095739807604,0.9927592941274033,0.982789881260525,0.09986257443884562
aumc,20260806,2183,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8891433806688044,0.7764069014675115,0.6192771670103007,0.08520384791571232
aumc,20260807,2183,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9986257443884563,0.9950570780283414,0.9893661407342458,0.10032065964269354
