scenario,seeds_completed,passing_seeds,patients,retained_fraction,median_exact_agreement,minimum_exact_agreement,median_ari,minimum_ari,median_nmi,maximum_uncertain_fraction,minimum_cluster_prevalence,median_dr_fraction,median_rr_fraction,median_pw_fraction,maximum_high_lag1_fraction,scenario_status
documented_windows,3,3,1043,0.7360621030345801,0.835091083413231,0.8312559923298178,0.5228642821727181,0.5128233635340069,0.43831705691184664,0.297219558964525,0.06711409395973154,0.17737296260786195,0.7555129434324065,0.06711409395973154,0.0,PASS_ALL_3_INITIALIZATIONS
high_coverage,3,0,415,0.2928722653493296,0.8144578313253013,0.8048192771084337,0.5414119740633542,0.5156190345927929,0.40141863687862406,0.0337349397590361,0.0,0.2819277108433735,0.7180722891566265,0.0,0.416666666666667,CAUTION_DOCUMENTATION_SELECTION_OR_MODE_SENSITIVITY
