cohort,scenario,seeds_completed,passing_seeds,median_exact_agreement,minimum_exact_agreement,median_ari,minimum_ari,median_nmi,maximum_uncertain_fraction,minimum_cluster_prevalence,maximum_high_lag1_fraction,scenario_status
aumc,complete_30_window_followup,3,1,0.8213627992633518,0.8029465930018416,0.5577608410964315,0.5044032540625527,0.5007132362659557,0.125230202578269,0.0,0.333333333333333,CAUTION_MODE_OR_DATA_SENSITIVITY
aumc,exclude_documented_rrt,3,1,0.7982319292771711,0.7940717628705148,0.5070795338210194,0.4956897548989232,0.41517373044430955,0.104524180967239,0.0,0.333333333333333,CAUTION_MODE_OR_DATA_SENSITIVITY
eicu,complete_30_window_followup,3,1,0.7150259067357513,0.7098445595854922,0.39783830224818323,0.3961509853715583,0.3885502734686284,0.310880829015544,0.0025906735751295338,0.333333333333333,CAUTION_MODE_OR_DATA_SENSITIVITY
eicu,limited_forward_fill_complete_rows,3,1,0.7910764872521246,0.7889518413597734,0.5401463920588578,0.5356689837859365,0.4546949250708737,0.160056657223796,0.0028328611898017,0.666666666666667,CAUTION_MODE_OR_DATA_SENSITIVITY
mimic,complete_30_window_followup,3,1,0.7532355478861087,0.7420189818809318,0.4293225805907467,0.41097075675540407,0.37326205930333217,0.122519413287317,0.0025884383088869713,0.666666666666667,CAUTION_MODE_OR_DATA_SENSITIVITY
mimic,limited_forward_fill_complete_rows,3,2,0.8637619553666313,0.7842720510095643,0.6140455580447601,0.4905855977472007,0.5134289291605433,0.100318809776833,0.0012752391073326248,0.666666666666667,CAUTION_MODE_OR_DATA_SENSITIVITY
