feature,max_to_min_median_ratio,median_mimic,median_aumcdb,median_eicu
Fio2,99.75559170394467,49.059799999999996,47.383449999999996,0.4918
Bilirubin,17.40473061760841,2.436,19.8675,1.1415
Hematocrit,14.002844444444444,29.922449999999998,2.25,31.5064
