cohort,scenario,K,seed,features,patients,rows,burn,keep,thin,mean_deviance,high_absolute_lag1_fraction,uncertain_label,uncertain_patients,uncertain_fraction,median_max_posterior_probability,minimum_max_posterior_probability,maximum_max_posterior_probability,sorted_cluster_prevalence,elapsed_seconds,config_sha256,probability_scale,scaled_deviance,scaled_lag1_failure,historical_selection_score,rank_within_cohort_seed,selected_within_seed
eicu,primary,2,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,556108.97845957,0.0,3.0,38,0.0268172194777699,0.999266967370765,0.511054424376075,1,0.846154;0.153846,17.2602028846741,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
eicu,primary,2,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,556137.179238396,0.0,3.0,40,0.0282286520818631,0.999250002010768,0.503491690950404,1,0.844037;0.155963,15.8756799697876,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
eicu,primary,3,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,555518.909660746,0.0,4.0,204,0.143966125617502,0.9654105679789,0.438054529746605,1,0.622442;0.291461;0.086097,23.7151951789856,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
eicu,primary,3,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,707742.493062824,0.666666666666667,4.0,27,0.0190543401552576,0.999999999998992,0.0,1,0.754411;0.242766;0.002823,26.4207470417023,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,0.8888888888888893,1.3379549531991441,2.0,False
eicu,primary,3,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,708111.04307992,0.625,4.0,21,0.0148200423429781,0.99999999999872,0.0,1,0.755822;0.241355;0.002823,29.3044538497925,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,0.8333333333333334,1.3017082793177759,2.0,False
eicu,primary,4,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,688556.334810273,0.15625,5.0,47,0.0331686661961891,0.999999539892535,0.0,1,0.587156;0.283698;0.126323;0.002823,27.3941328525543,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9072078972816892,0.20833333333333334,0.9308216513747635,3.0,False
eicu,primary,4,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,700042.75699206,0.75,5.0,33,0.023288637967537,0.999938433060413,0.0,1,0.584333;0.266055;0.146789;0.002823,26.3403298854828,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9492214099837347,1.0,1.378775284508505,4.0,False
eicu,primary,4,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,702486.749189099,0.75,5.0,52,0.036697247706422,0.999581354048996,0.0,1,0.512350;0.313338;0.171489;0.002823,31.276969909668,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9629917029898906,1.0,1.3882914031381774,4.0,False
eicu,primary,5,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,702163.824842981,0.75,6.0,118,0.0832745236414961,0.95686275097847,0.0,1,0.405081;0.242061;0.177841;0.172195;0.002823,40.2113659381866,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,1.0,1.4142135623730951,4.0,False
eicu,primary,5,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,696855.503890894,0.75,6.0,66,0.0465772759350741,0.985197715804448,0.0,1,0.419195;0.216655;0.214538;0.146789;0.002823,27.9344170093536,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9282019598344364,1.0,1.3643895624932378,3.0,False
