cohort,K,seeds_completed,mean_deviance,sd_deviance,mean_high_absolute_lag1_fraction,mean_uncertain_fraction,median_max_posterior_probability,median_selection_score,selections_across_three_seeds,mean_elapsed_seconds
aumc,2,3,598411.7613092937,1.2002913179659915,0.0,0.028095892502672165,0.997330083928666,0.00967717544347858,1,17.990501403808633
aumc,3,3,597284.1742602,73.06143542423608,0.037037037037037,0.13452435486333797,0.970202441000041,0.0,2,25.487567027409867
aumc,4,3,712062.2441454573,388.1231176707404,0.708333333333333,0.020155748969308298,0.999999962964293,1.3903166444737785,0,34.70171300570173
aumc,5,3,709705.8337286423,4643.362084495708,0.7111111111111109,0.041838448618109626,0.963524996415555,1.3793024284863808,0,37.566481033961
eicu,2,3,556129.0761033021,17.513485081460658,0.0,0.029404845918607366,0.999250002010768,0.0,2,14.993337233861299
eicu,3,3,657124.1486011633,87992.91103482859,0.43055555555555564,0.05928016937191257,0.99999999999872,1.3017082793177759,1,26.480132023493468
eicu,4,3,697028.6136638107,7438.273065293618,0.5520833333333334,0.031051517290049364,0.999938433060413,1.378775284508505,0,28.337144215901702
eicu,5,3,698742.928115149,2967.8647664628047,0.75,0.06680780992707597,0.972405366625883,1.3644336032810056,0,34.37735136349993
mimic,2,3,1464794.40191483,34.952485403888176,0.0,0.021854445151708035,0.997932061018902,0.004880488842363399,1,38.3903683026632
mimic,3,3,1463149.174046263,708.1882822272341,0.0138888888888889,0.08621543249168967,0.967950308158544,0.0,2,53.666608651479066
mimic,4,3,1733935.636287,236083.50431064193,0.5,0.07136289695169393,0.998379691177891,1.3301101846780188,0,103.79810428619369
mimic,5,3,1886017.05665557,1120.0695423316236,0.7833333333333333,0.06018813211683993,0.934788134807344,1.4142135623730951,0,116.82495363553367
