cohort,cohort_label,phenotype,group,adjusted_or_response_vs_nonresponse,ci_low,ci_high,p_value,n_complete,deaths,n_parameters,events_per_parameter,converged,diagnostic_flag
mimic,MIMIC-IV,DR,1,0.9592401722325188,0.45626743630973265,2.016671878814606,0.912594897231874,1124,92,12,7.666666666666667,True,CAUTION_LOW_EVENTS
mimic,MIMIC-IV,RR,2,0.2249777566669644,0.09282832097727442,0.5452537594350226,0.0009571136340336386,1124,92,12,7.666666666666667,True,CAUTION_LOW_EVENTS
mimic,MIMIC-IV,PW,3,0.7544251124268302,0.24811272675131388,2.293946214337921,0.6194260074662306,1124,92,12,7.666666666666667,True,CAUTION_LOW_EVENTS
aumc,AUMC,DR,1,1.1374274703236107,0.3741174051316576,3.4581156409750067,0.820442113537562,382,76,12,6.333333333333333,True,CAUTION_LOW_EVENTS
aumc,AUMC,RR,2,0.994580943598402,0.4149472897462596,2.383896166604627,0.9902794113006099,382,76,12,6.333333333333333,True,CAUTION_LOW_EVENTS
aumc,AUMC,PW,3,1.870861943767592,0.3749325899785205,9.335343222199946,0.44498491847581656,382,76,12,6.333333333333333,True,CAUTION_LOW_EVENTS
