cohort,cohort_label,stage,phenotype,variable,used_in_archived_matching,max_absolute_pairwise_smd,worst_pair
aumc,AUMC,before_matching,RR,creatinine,True,0.2002547272204167,No diuretic vs Non-responsive
aumc,AUMC,before_matching,RR,urineoutput,True,0.14702760031972553,No diuretic vs responsive
aumc,AUMC,before_matching,RR,sofa_norenal,True,0.44761766409843756,No diuretic vs responsive
aumc,AUMC,before_matching,RR,colloid_bolus,True,0.31002959757819654,Non-responsive vs responsive
aumc,AUMC,before_matching,RR,age,False,0.4781572066924296,No diuretic vs Non-responsive
aumc,AUMC,before_matching,RR,male,False,0.2479653674000865,No diuretic vs Non-responsive
aumc,AUMC,before_matching,RR,weight,False,0.19756491969898324,Non-responsive vs responsive
aumc,AUMC,before_matching,RR,baseline_Scr,False,0.1347283592228578,No diuretic vs Non-responsive
aumc,AUMC,before_matching,PW,creatinine,True,0.1436183545694029,No diuretic vs Non-responsive
aumc,AUMC,before_matching,PW,urineoutput,True,0.6533621489464821,No diuretic vs responsive
aumc,AUMC,before_matching,PW,sofa_norenal,True,0.5038690949608575,No diuretic vs responsive
aumc,AUMC,before_matching,PW,colloid_bolus,True,0.46050843882575193,No diuretic vs Non-responsive
aumc,AUMC,before_matching,PW,age,False,0.4142888056376989,Non-responsive vs responsive
aumc,AUMC,before_matching,PW,male,False,0.15954198437696188,No diuretic vs responsive
aumc,AUMC,before_matching,PW,weight,False,0.2792029810536553,No diuretic vs Non-responsive
aumc,AUMC,before_matching,PW,baseline_Scr,False,0.24593405493202883,Non-responsive vs responsive
aumc,AUMC,after_matching,DR,creatinine,True,0.29823551941673926,No diuretic vs responsive
aumc,AUMC,after_matching,DR,urineoutput,True,0.028665591559661818,No diuretic vs Non-responsive
aumc,AUMC,after_matching,DR,sofa_norenal,True,0.17968759936603773,Non-responsive vs responsive
aumc,AUMC,after_matching,DR,colloid_bolus,True,0.06819832520813694,Non-responsive vs responsive
aumc,AUMC,after_matching,DR,age,False,0.4676264446615071,No diuretic vs Non-responsive
aumc,AUMC,after_matching,DR,male,False,0.3687132248181175,No diuretic vs Non-responsive
aumc,AUMC,after_matching,DR,weight,False,0.16609500492029972,No diuretic vs Non-responsive
aumc,AUMC,after_matching,DR,baseline_Scr,False,0.1503335285528982,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,creatinine,True,0.11770527359003052,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,urineoutput,True,0.08345932691163653,Non-responsive vs responsive
aumc,AUMC,after_matching,RR,sofa_norenal,True,0.15924407100861956,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,colloid_bolus,True,0.1411370504586124,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,age,False,0.550645298449407,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,male,False,0.16436680652592953,No diuretic vs responsive
aumc,AUMC,after_matching,RR,weight,False,0.2294539854268184,No diuretic vs Non-responsive
aumc,AUMC,after_matching,RR,baseline_Scr,False,0.15933902276809844,No diuretic vs Non-responsive
aumc,AUMC,after_matching,PW,creatinine,True,0.1338749132756479,Non-responsive vs responsive
aumc,AUMC,after_matching,PW,urineoutput,True,0.25186390989077473,No diuretic vs responsive
aumc,AUMC,after_matching,PW,sofa_norenal,True,0.20129332523360924,No diuretic vs responsive
aumc,AUMC,after_matching,PW,colloid_bolus,True,0.10425219864228887,No diuretic vs Non-responsive
aumc,AUMC,after_matching,PW,age,False,0.34782558471511005,Non-responsive vs responsive
aumc,AUMC,after_matching,PW,male,False,0.22498332150469913,Non-responsive vs responsive
aumc,AUMC,after_matching,PW,weight,False,0.3500523680914077,No diuretic vs responsive
aumc,AUMC,after_matching,PW,baseline_Scr,False,0.325743013445404,No diuretic vs responsive
